City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Kota Bahru,MY,2022-04-20 22:57:15,6.1333,102.2386,76.98,94,20,0.0
256,Teguise,ES,2022-04-20 22:57:15,29.0605,-13.564,59.22,59,40,25.32
257,Tshikapa,CD,2022-04-20 22:55:09,-6.4167,20.8,70.99,98,100,2.24
258,Akividu,IN,2022-04-20 22:57:16,16.6,81.3833,81.39,82,18,6.58
259,Marsabit,KE,2022-04-20 22:57:16,2.3284,37.9899,65.16,88,98,14.76
260,Belaya Gora,RU,2022-04-20 22:57:17,68.5333,146.4167,18.79,91,99,1.19
261,Prince Rupert,CA,2022-04-20 22:54:46,54.3161,-130.3201,55.49,38,0,11.5
262,Vieste,IT,2022-04-20 22:57:17,41.8825,16.175,55.08,77,100,7.61
263,Vanderhoof,CA,2022-04-20 22:54:07,54.0166,-124.0198,44.17,53,96,6.69
264,Talcahuano,CL,2022-04-20 22:57:18,-36.7167,-73.1167,56.88,67,0,13.8
265,Nuuk,GL,2022-04-20 22:55:55,64.1835,-51.7216,23.88,45,88,7.31
266,Yakeshi,CN,2022-04-20 22:57:19,49.2833,120.7333,35.96,45,100,5.82
267,Lata,PT,2022-04-20 22:52:33,40.1629,-8.3327,52.07,89,2,3.62
268,Dikson,RU,2022-04-20 22:57:19,73.5069,80.5464,-4.65,100,94,9.75
269,Tambopata,PE,2022-04-20 22:57:20,-12.7333,-69.1833,84.09,79,0,2.3
270,Cairns,AU,2022-04-20 22:57:21,-16.9167,145.7667,82.06,88,75,9.22
271,Onega,RU,2022-04-20 22:58:21,63.9061,38.1404,25.93,95,9,2.84
272,Rio Gallegos,AR,2022-04-20 22:58:21,-51.6226,-69.2181,51.85,54,75,11.5
273,Sitka,US,2022-04-20 22:58:22,57.0531,-135.33,49.01,61,77,1.54
274,Minnetonka,US,2022-04-20 22:56:29,44.9133,-93.5033,46.11,94,100,3.44
275,Juruti,BR,2022-04-20 22:58:23,-2.1522,-56.0922,75.88,94,100,1.77
276,Georgetown,MY,2022-04-20 22:55:28,5.4112,100.3354,78.73,99,20,2.3
277,Khatanga,RU,2022-04-20 22:58:23,71.9667,102.5,-11.99,100,100,1.92
278,Saint George,US,2022-04-20 22:58:24,37.1041,-113.5841,81.79,16,11,1.99
279,Kaitangata,NZ,2022-04-20 22:58:24,-46.2817,169.8464,57.87,98,92,3.98
280,Northam,GB,2022-04-20 22:58:25,51.0333,-4.2167,51.62,82,32,6.2
281,Alofi,NU,2022-04-20 22:58:25,-19.0595,-169.9187,85.89,70,75,8.05
282,Aquidauana,BR,2022-04-20 22:58:25,-20.4711,-55.7872,79.27,47,12,3.38
283,Kapoeta,SS,2022-04-20 22:58:26,4.7717,33.5903,76.8,72,100,2.86
284,Evanston,US,2022-04-20 22:54:22,42.0411,-87.6901,51.48,73,100,8.01
285,Syzran,RU,2022-04-20 22:58:26,53.1585,48.4681,49.42,86,100,16.06
