,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
160,Asyut,27.181,31.1837,84.38,17,0,12.66,EG,2022-04-30 19:34:19,clear sky
161,Saint-Leu,-21.15,55.2833,77.86,81,33,6.11,RE,2022-04-30 19:34:20,scattered clouds
162,Kapaa,22.0752,-159.319,77.47,78,40,17.27,US,2022-04-30 19:34:20,scattered clouds
163,Westport,41.1415,-73.3579,66.27,29,0,14.97,US,2022-04-30 19:31:06,clear sky
164,Turku,60.4515,22.2687,39.72,75,0,5.75,FI,2022-04-30 19:34:21,clear sky
165,Bay Roberts,47.5999,-53.2648,45.52,92,100,5.99,CA,2022-04-30 19:34:21,light rain
166,Koson,39.0375,65.585,77.32,36,100,8.68,UZ,2022-04-30 19:34:22,overcast clouds
167,Sitka,57.0531,-135.33,49.89,66,20,5.75,US,2022-04-30 19:34:23,few clouds
168,Salinopolis,-0.6136,-47.3561,79.56,85,50,8.19,BR,2022-04-30 19:31:22,scattered clouds
169,Edirne,41.6772,26.556,50.79,85,14,5.82,TR,2022-04-30 19:34:24,few clouds
170,Sapa,5.1544,120.3241,81.0,80,99,3.58,PH,2022-04-30 19:34:24,overcast clouds
171,San Cristobal,7.7669,-72.225,84.38,77,100,7.02,VE,2022-04-30 19:29:48,overcast clouds
172,Asau,46.4333,26.4,45.95,88,68,2.86,RO,2022-04-30 19:34:25,broken clouds
173,Grindavik,63.8424,-22.4338,45.07,81,75,16.11,IS,2022-04-30 19:34:25,broken clouds
174,Kaeo,-35.1,173.7833,54.32,96,76,5.95,NZ,2022-04-30 19:30:38,broken clouds
175,Komatipoort,-25.4332,31.9548,71.06,77,0,8.25,ZA,2022-04-30 19:34:26,clear sky
176,Fort Nelson,58.8053,-122.7002,44.19,49,40,5.75,CA,2022-04-30 19:34:27,scattered clouds
177,Clyde River,70.4692,-68.5914,16.03,86,100,8.05,CA,2022-04-30 19:32:17,light snow
178,Novaya Zaimka,56.4857,66.9241,39.18,50,100,6.69,RU,2022-04-30 19:34:27,overcast clouds
179,Athens,37.9795,23.7162,66.18,54,20,8.01,GR,2022-04-30 19:32:04,few clouds
180,Dalaba,10.7,-12.25,65.01,91,100,5.61,GN,2022-04-30 19:34:28,moderate rain
181,Puro,12.4841,123.3827,79.43,85,100,7.54,PH,2022-04-30 19:34:29,overcast clouds
182,Rusera,25.75,86.0333,78.39,57,46,16.04,IN,2022-04-30 19:34:29,scattered clouds
183,Kichmengskiy Gorodok,59.9816,45.7854,25.38,86,12,4.7,RU,2022-04-30 19:34:30,few clouds
184,Kruisfontein,-34.0033,24.7314,55.89,86,7,6.93,ZA,2022-04-30 19:30:43,clear sky
185,Pacific Grove,36.6177,-121.9166,73.24,82,40,5.99,US,2022-04-30 19:33:36,scattered clouds
186,Kavieng,-2.5744,150.7967,81.41,75,100,3.18,PG,2022-04-30 19:34:30,light rain
187,Kahului,20.8947,-156.47,78.82,72,40,16.11,US,2022-04-30 19:33:11,scattered clouds
188,Leczyca,52.0596,19.1997,56.19,56,100,5.19,PL,2022-04-30 19:34:31,overcast clouds
189,Egvekinot,66.3167,-179.1667,15.26,80,100,11.01,RU,2022-04-30 19:34:31,overcast clouds
190,Glazov,58.1394,52.6584,34.99,95,86,6.67,RU,2022-04-30 19:34:32,overcast clouds
191,Saint-Francois,46.4154,3.9054,51.67,66,0,9.22,FR,2022-04-30 19:30:55,clear sky
192,Cannes,43.55,7.0167,60.8,78,100,3.44,FR,2022-04-30 19:34:33,overcast clouds
193,Kaitangata,-46.2817,169.8464,50.32,84,100,5.82,NZ,2022-04-30 19:34:33,overcast clouds
194,Buin,-33.7333,-70.75,73.72,29,0,2.75,CL,2022-04-30 19:34:34,clear sky
195,Monroe,43.1501,-77.6831,60.44,30,40,9.22,US,2022-04-30 19:31:48,scattered clouds
196,Boysun,38.2061,67.1986,69.57,41,71,6.17,UZ,2022-04-30 19:34:34,broken clouds
197,Perth,-31.9333,115.8333,57.09,84,0,5.75,AU,2022-04-30 19:31:16,clear sky
198,Saint Anthony,45.0205,-93.218,52.05,92,100,16.11,US,2022-04-30 19:34:35,mist
199,Barabai,-2.5833,115.3833,74.32,96,100,1.86,ID,2022-04-30 19:34:36,overcast clouds
200,Okhotsk,59.3833,143.3,31.93,90,50,6.78,RU,2022-04-30 19:34:36,scattered clouds
201,Qaqortoq,60.7167,-46.0333,41.13,74,40,2.37,GL,2022-04-30 19:30:39,scattered clouds
202,Sumbe,-11.2061,13.8437,76.98,91,100,3.98,AO,2022-04-30 19:34:37,overcast clouds
203,Manaure,11.7751,-72.4445,86.11,66,100,12.1,CO,2022-04-30 19:34:37,overcast clouds
204,Kjollefjord,70.9457,27.3465,28.45,86,75,9.22,NO,2022-04-30 19:34:38,light snow
205,Lakatoro,-16.0999,167.4164,76.3,88,100,4.25,VU,2022-04-30 19:34:38,overcast clouds
206,Cherskiy,68.75,161.3,9.81,93,80,4.63,RU,2022-04-30 19:34:39,broken clouds
207,Haines Junction,60.7522,-137.5108,46.35,46,92,4.61,CA,2022-04-30 19:34:39,overcast clouds
